prev	curr	type	n
other-search	History	external	2138
Earth	Main_Page	external	1972
Chemistry	Literature	link	854
Main_Page	Philosophy	link	926
World_War_II	Biology	external	2137
Biology	Main_Page	link	1492
other-external	Wikipedia	other	1705
Geography	World_War_II	external	1658
other-empty	Philosophy	other	1044
Literature	English_language	other	908
Main_Page	English_language	link	1056
other-internal	English_language	link	2404
Geography	Technology	other	1345
other-internal	Science	other	2410
Earth	Wikipedia	other	1285
Geography	Geography	link	750
Chemistry	Biology	other	1242
History	United_States	link	2077
Technology	History	link	1603
Sports	English_language	link	1147
Science	Biology	external	890
Technology	United_States	other	2580
Technology	Mathematics	link	1283
Technology	Geography	other	804
Main_Page	Chemistry	link	2009
other-external	Sports	link	398
Music	Chemistry	external	512
other-search	Science	link	2329
other-internal	Mathematics	external	1031
Earth	Wikipedia	link	1015
English_language	English_language	external	1977
other-external	English_language	external	2208
other-external	Religion	link	2030
Earth	Main_Page	other	1740
Literature	Science	other	1416
Wikipedia	Music	link	726
Literature	Science	other	1535
Physics	World_War_II	link	760
Technology	Technology	other	956
Art	World_War_II	link	940
Biology	Technology	link	2592
Biology	United_States	other	1195
Science	Physics	other	953
other-external	Science	external	1183
United_States	Religion	external	1864
other-internal	Geography	link	2598
Chemistry	Literature	other	1617
Chemistry	Wikipedia	other	1489
Art	Mathematics	external	1084
Music	Earth	link	1780
Chemistry	Geography	external	1078
Mathematics	Literature	other	2310
Sports	English_language	external	793
Physics	Mathematics	other	2311
Wikipedia	Music	other	1553
other-external	Sports	external	2480
History	Science	other	983
other-empty	World_War_II	external	1333
Religion	Religion	link	2099
Technology	Art	link	2226
World_War_II	United_States	link	752
Biology	Chemistry	link	2050
Biology	Religion	external	382
English_language	English_language	other	2077
Art	Biology	external	2144
other-external	Literature	external	1391
other-empty	Mathematics	link	2233
Sports	Science	external	1200
Biology	Main_Page	other	1056
other-empty	Wikipedia	external	2405
Philosophy	Literature	other	887
Literature	History	link	1206
History	Wikipedia	other	2254
Main_Page	Mathematics	external	2188
Religion	Physics	link	724
United_States	Wikipedia	other	1852
Science	Geography	other	1187
Philosophy	English_language	link	2031
Religion	Music	external	2377
World_War_II	English_language	link	1114
Mathematics	World_War_II	other	956
other-search	English_language	external	1329
World_War_II	Art	other	1440
United_States	English_language	other	1984
World_War_II	Science	link	1044
Wikipedia	Biology	link	1134
Literature	Art	other	1126
Religion	Wikipedia	other	544
other-internal	Chemistry	link	1356
Physics	Biology	external	1822
Art	Art	link	2377
Technology	Earth	link	1951
other-external	Main_Page	external	2526
